date_time,cpu_utilization
2022-01-01 00:00:00, 50.0
2022-01-02 00:00:00, 40.0
2022-01-03 00:00:00, 50.0
2022-01-04 00:00:00, 30.0
2022-01-05 00:00:00, 20.0
2022-01-06 00:00:00, 70.0
2022-01-07 00:00:00, 90.0
2022-01-08 00:00:00, 60.0
2022-01-09 00:00:00, 40.0
2022-01-10 00:00:00, 50.0
2022-01-11 00:00:00, 30.0
2022-01-12 00:00:00, 20.0
2022-01-13 00:00:00, 70.0
2022-01-14 00:00:00, 90.0
2022-01-15 00:00:00, 60.0
2022-01-16 00:00:00, 40.0
2022-01-17 00:00:00, 50.0
2022-01-18 00:00:00, 30.0
2022-01-19 00:00:00, 20.0
2022-01-20 00:00:00, 70.0
2022-01-21 00:00:00, 90.0
2022-01-22 00:00:00, 60.0
2022-01-23 00:00:00, 40.0
2022-01-24 00:00:00, 50.0
2022-01-25 00:00:00, 30.0
2022-01-26 00:00:00, 20.0
2022-01-27 00:00:00, 70.0
2022-01-28 00:00:00, 90.0
2022-01-29 00:00:00, 60.0
2022-01-30 00:00:00, 40.0
2022-01-31 00:00:00, 50.0
2022-02-01 00:00:00, 30.0
2022-02-02 00:00:00, 20.0
2022-02-03 00:00:00, 70.0
2022-02-04 00:00:00, 90.0
2022-02-05 00:00:00, 60.0
2022-02-06 00:00:00, 40.0
2022-02-07 00:00:00, 50.0
2022-02-08 00:00:00, 30.0
2022-02-09 00:00:00, 20.0
2022-02-10 00:00:00, 70.0
2022-02-11 00:00:00, 50.0
2022-02-12 00:00:00, 65.0
2022-02-13 00:00:00, 70.0
2022-02-14 00:00:00, 80.0
2022-02-15 00:00:00, 70.0
2022-02-16 00:00:00, 50.0
2022-02-17 00:00:00, 45.0
2022-02-18 00:00:00, 40.0
2022-02-19 00:00:00, 50.0
2022-02-20 00:00:00, 65.0
2022-02-21 00:00:00, 70.0
2022-02-22 00:00:00, 75.0
2022-02-23 00:00:00, 80.0
2022-02-24 00:00:00, 70.0
2022-02-25 00:00:00, 50.0
2022-02-26 00:00:00, 45.0
2022-02-27 00:00:00, 50.0
2022-02-28 00:00:00, 65.0
2022-03-01 00:00:00, 80.0
2022-03-02 00:00:00, 75.0
2022-03-03 00:00:00, 60.0
2022-03-04 00:00:00, 45.0
2022-03-05 00:00:00, 50.0
2022-03-06 00:00:00, 70.0
2022-03-07 00:00:00, 80.0
2022-03-08 00:00:00, 75.0
2022-03-09 00:00:00, 60.0
2022-03-10 00:00:00, 45.0
2022-03-11 00:00:00, 50.0
2022-03-12 00:00:00, 84.5
2022-03-13 00:00:00, 90.3
2022-03-14 00:00:00, 87.8
2022-03-15 00:00:00, 83.2
2022-03-16 00:00:00, 81.5
2022-03-17 00:00:00, 79.9
2022-03-18 00:00:00, 81.1
2022-03-19 00:00:00, 88.4
2022-03-20 00:00:00, 85.9
2022-03-21 00:00:00, 81.7
2022-03-22 00:00:00, 80.2
2022-03-23 00:00:00, 77.6
2022-03-24 00:00:00, 74.3
2022-03-25 00:00:00, 77.9
2022-03-26 00:00:00, 83.1
2022-03-27 00:00:00, 89.2
2022-03-28 00:00:00, 86.1
2022-03-29 00:00:00, 82.6
2022-03-30 00:00:00, 80.1
2022-03-31 00:00:00, 76.8
2022-04-01 00:00:00, 74.4
2022-04-02 00:00:00, 77.8
2022-04-03 00:00:00, 83.2
2022-04-04 00:00:00, 89.1
2022-04-05 00:00:00, 86.5
2022-04-06 00:00:00, 82.1
2022-04-07 00:00:00, 79.5
2022-04-08 00:00:00, 76.2
2022-04-09 00:00:00, 79.8
2022-04-10 00:00:00, 85.1
2022-04-11 00:00:00, 90.2
2022-04-12 00:00:00, 87.9
2022-04-13 00:00:00, 83.3
2022-04-14 00:00:00, 81.6
2022-04-15 00:00:00, 79.7
2022-04-16 00:00:00, 81.0
2022-04-17 00:00:00, 88.3
2022-04-18 00:00:00, 85.8
2022-04-19 00:00:00, 81.6
2022-04-20 00:00:00, 80.1 
2022-04-21 00:00:00,85.3
2022-04-22 00:00:00,87.8
